COMUNAS_ZONAS_DESCRIPCION,LATITUD_Y,LONGITUD_X,n
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.601127109,-74.06296733,1
No registra,4.6404496264,-74.0624585528,1
No registra,4.640602256,-74.07896001,1
No registra,4.641016391,-74.07287625,1
No registra,4.641250318,-74.06492076,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600776481,-74.07256773,1
No registra,4.642044322,-74.06226,1
No registra,4.6420581,-74.07826583,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.602233964,-74.07255355,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600554966,-74.07064918,1
No registra,4.642211994,-74.07593705,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.600399508,-74.07173357,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.60034108,-74.07543961,1
No registra,4.6424938565,-74.067524,1
No registra,4.6437732996,-74.075687,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597870699,-74.07427016,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.601512102,-74.0733153,1
No registra,4.6398597771,-74.0637471884,1
UPZ No. 95 LAS CRUCES ENO REPORTADO3,4.588137962,-74.0811841,1
No registra,4.6377619054,-74.0666417513,1
No registra,4.6339050718,-74.0892591852,1
No registra,4.634478529,-74.06715772,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.609324212,-74.07036487,1
No registra,4.635676229,-74.06419656,1
No registra,4.635967813,-74.06821993,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.603046726,-74.06347159,1
No registra,4.637753664,-74.06367091,1
No registra,4.637889829,-74.06799457,1
No registra,4.639405661,-74.06526676,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.60277898,-74.06539551,1
No registra,4.6386009604,-74.0738364187,1
No registra,4.638777406,-74.16641018,1
No registra,4.639167726,-74.0615626303,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.602233964,-74.072553549,1
No registra,4.639167726,-74.06156263,1
No registra,4.6394056605,-74.0652667609,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597908129,-74.07678071,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.597571259,-74.07210294,1
No registra,4.6562564207,-74.16256,1
No registra,4.7551592274,-74.1075688971,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60699517,-74.07101473,1
No registra,4.7052930311,-74.0419879336,1
No registra,4.7108959718,-74.0751614947,1
No registra,4.7470007616,-74.041597,1
No registra,4.750717679,-74.04737467,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.605356676,-74.07152358,1
No registra,4.7535206641,-74.0471092301,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.605009115,-74.07040242,1
UPZ No. 10 LA URIBE ENO REPORTADO1,4.602251605,-74.08118446,1
No registra,4.8007039,-74.0375354,1
No registra,4.8019896946,-74.0371814117,1
No registra,4.820760291,-74.03639815,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.604650859,-74.07023612,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.603760175,-74.07097718,1
TERMINAL DE TRANSPORTES,4.653414767,-74.11495391,1
TERMINAL DE TRANSPORTES,4.654633822,-74.11438528,1
No registra,4.697766948,-74.12614602,1
No registra,4.69766533,-74.1412629418,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.607797393,-74.0701752,1
No registra,4.697638372,-74.03567395,1
No registra,4.689600778,-74.13113771,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.592603733,-74.06843636,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.59147667,-74.07428626,1
No registra,4.689676388,-74.13121985,1
UPZ No. 94 LA CANDELARIA ENO REPORTADO17,4.591402896,-74.06959316,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60986055,-74.07015106,1
No registra,4.691050225,-74.02867379,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.60806765,-74.07064918,1
No registra,4.691364962,-74.13394178,1
No registra,4.6933028309000004,-74.0351204309,1
No registra,4.693443455,-74.03514744,1
No registra,4.6938344,-74.03294078,1
No registra,4.694411372,-74.03167245,1
No registra,4.69677545,-74.04374126,1
No registra,4.697448575,-74.04287568,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.603736175,-74.06898588,1
UPZ No. 10 LA URIBE ENO REPORTADO1,4.632264715,-74.08828816,1
No registra,4.6577560568,-74.050768,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.606304365,-74.06517966,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.602233964,-74.072553549,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.602148522,-74.06851465,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.603316755,-74.06329993,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.603663927,-74.06453988,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.603720462,-74.06497899,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.602084245,-74.07236579,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.604511834,-74.06745735,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.607859114,-74.06592849,1
UPZ No. 10 LA URIBE ENO REPORTADO1,4.647851077,-74.07412073,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601201969,-74.07028172,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601260787,-74.07019321,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601319215,-74.06974873,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601386054,-74.06949124,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601419594,-74.06982842,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601463978,-74.0727574,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.601635086,-74.06970504,1
UPZ No. 92 LA MACARENA ENO REPORTADO3,4.600159205,-74.06796453,1
UPZ No. 91 SAGRADO CORAZON ENO REPORTADO3,4.619245238,-74.06624577,1
UPZ No. 91 SAGRADO CORAZON ENO REPORTADO3,4.611022406,-74.06909266,1
UPZ No. 91 SAGRADO CORAZON ENO REPORTADO3,4.609794754,-74.07187763,1
UPZ No. 102 LA SABANA ENO REPORTADO14,4.611409566,-74.0756971,1
UPZ No. 102 LA SABANA ENO REPORTADO14,4.612839511,-74.07528481,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.603720462,-74.06888429,1
UPZ No. 102 LA SABANA ENO REPORTADO14,4.616029014,-74.07559327,1
UPZ No. 107 QUINTA PAREDES ENO REPORTADO13,4.629546537,-74.08916179,1
UPZ No. 93 LAS NIEVES ENO REPORTADO3,4.603356859,-74.07226387,1
UPZ No. 11 SAN CRISTOBAL NORTE ENO REPORTADO1,4.651832132,-74.11238972,1
UPZ No. 11 SAN CRISTOBAL NORTE ENO REPORTADO1,4.667568796,-74.11819037,1
